-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     728.578us         0.01%     728.578us       2.621us           278  
                                              aten::add         0.14%      15.905ms         0.18%      20.873ms      25.028us     709.729us         0.01%     716.129us       0.859us           834  
                                        cudaEventRecord         0.01%     597.126us         0.01%     597.126us       1.072us     635.005us         0.01%     635.005us       1.140us           557  
                                     aten::index_select         0.58%      67.484ms         0.68%      79.320ms     142.661us     632.519us         0.01%       1.110ms       1.997us           556  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     632.519us         0.01%     632.519us       2.325us           272  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     609.281us         0.01%     609.281us       2.240us           272  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     564.763us         0.01%     564.763us       2.032us           278  
                               cudaEventRecordWithFlags         0.01%       1.567ms         0.01%       1.651ms       2.980us     440.018us         0.00%     534.295us       0.964us           554  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     408.619us         0.00%     408.619us       1.470us           278  
nvjet_sm121_tst_mma_64x72x64_5_16x72x64_tmaAB_alignC...         0.00%       0.000us         0.00%       0.000us       0.000us     373.456us         0.00%     373.456us       7.780us            48  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     339.029us         0.00%     339.029us       1.224us           277  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     327.759us         0.00%     327.759us       1.183us           277  
                                           aten::gather         0.00%      75.108us         0.00%     273.133us      45.522us     315.373us         0.00%     469.940us      78.323us             6  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     301.110us         0.00%     301.110us       1.083us           278  
                                              aten::sub         0.03%       4.059ms         0.05%       5.873ms      21.127us     287.946us         0.00%     290.186us       1.044us           278  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     287.946us         0.00%     287.946us       1.036us           278  
nvjet_sm121_tst_mma_64x56x64_6_16x56x64_tmaAB_alignC...         0.00%       0.000us         0.00%       0.000us       0.000us     287.249us         0.00%     287.249us       5.984us            48  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     254.215us         0.00%     254.215us       2.648us            96  
                                    cudaStreamWaitEvent         0.01%     747.013us         0.01%     747.013us       2.697us     220.172us         0.00%     220.172us       0.795us           277  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     127.880us         0.00%     127.880us       0.462us           277  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      92.228us         0.00%      92.228us       7.686us            12  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      13.952us         0.00%      13.952us       1.163us            12  
                  execute_context_1(64)_generation_0(0)         0.20%      22.887ms         1.35%     158.479ms     158.479ms       0.000us         0.00%      95.256ms      95.256ms             1  
                                            aten::slice         0.65%      76.699ms         0.78%      91.242ms       0.691us       0.000us         0.00%       0.000us       0.000us        132064  
                                       aten::as_strided         0.53%      61.721ms         0.53%      61.721ms       0.154us       0.000us         0.00%       0.000us       0.000us        400383  
                                        cudaMemcpyAsync         0.86%     101.413ms         1.23%     144.591ms       8.638us       0.000us         0.00%       4.906ms       0.293us         16738  
                                       aten::lift_fresh         0.00%      53.954us         0.00%      53.954us       0.097us       0.000us         0.00%       0.000us       0.000us           556  
                                          aten::flatten         0.20%      23.814ms         0.24%      27.618ms       0.412us       0.000us         0.00%       0.000us       0.000us         66998  
                                             aten::view         0.47%      55.495ms         0.47%      55.495ms       0.116us       0.000us         0.00%       0.000us       0.000us        480061  
                                           aten::detach         0.00%     239.120us         0.00%     239.120us       0.430us       0.000us         0.00%       0.000us       0.000us           556  
                                               aten::to         0.11%      12.573ms         8.29%     972.624ms      22.869us       0.000us         0.00%        1.619s      38.066us         42530  
                                     aten::resolve_conj         0.00%      72.992us         0.00%      72.992us       0.131us       0.000us         0.00%       0.000us       0.000us           556  
                                      aten::resolve_neg         0.00%      65.378us         0.00%      65.378us       0.118us       0.000us         0.00%       0.000us       0.000us           556  
                                       cudaLaunchKernel        11.56%        1.356s        24.67%        2.894s      10.220us       0.000us         0.00%        1.015s       3.583us        283155  
                                          aten::reshape         0.44%      51.683ms         1.79%     209.550ms       2.626us       0.000us         0.00%      34.113ms       0.427us         79804  
                                         aten::_to_copy         0.17%      19.371ms         8.18%     960.051ms      63.965us       0.000us         0.00%        1.619s     107.866us         15009  
                                    aten::empty_strided         0.74%      87.209ms         0.76%      89.070ms       1.627us       0.000us         0.00%       0.000us       0.000us         54753  
                                               aten::lt         0.02%       2.286ms         0.02%       2.286ms       8.222us       0.000us         0.00%       0.000us       0.000us           278  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.730s
Self CUDA time total: 10.769s

